All KEYS::
Value of State: 97, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 64,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 62,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 58,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 56,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 52,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 46,  Action: 0, 0, 0,  is: 0.0
